"No.","業種","屋号","営業所所在地","営業所電話番号","申請者氏名","代表者氏名","申請者住所","申請年月日","許可年月日","初許可年月日","有効期間開始日","有効期間満了日","備考","LocName","fX","fY","iConf","iLvl"
7864,飲食店営業,蘇月,熊本市中央区南千反畑町11-12ハクベリーズ南千反1F,326-1311,東　敦士,,,2023年2月7日,2023年2月13日,2023年2月13日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/南千反畑町/１１番/１２号","130.71558","32.80822","5","8"
7865,飲食店営業,森からし蓮根有限会社,熊本市中央区二の丸1-1-2,351-0052,森からし蓮根㈲,森　久裕,熊本市中央区新町2丁目12-32,2023年2月8日,2023年2月17日,2023年2月17日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/二の丸/１番","130.70186","32.80378","5","7"
7866,飲食店営業,蘭桂坊,熊本市中央区花畑町11-33蔵ビル4F,,臧　岩,,,2023年2月9日,2023年2月9日,2023年2月9日,2023年2月9日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１１番/３３号","130.70715","32.80206","5","8"
7867,飲食店営業,Ｌｏｕｎｇｅ　Ｃａｓｔｌｅ,熊本市中央区新市街2-2西銀座ビル2F-C,,高根　響,,,2023年2月9日,2023年2月13日,2023年2月13日,2023年2月13日,2029年2月28日,,"熊本県/熊本市/中央区/新市街/２番/２号","130.70628","32.80007","5","8"
7868,飲食店営業,ＬＩＦＴ,熊本市中央区花畑町10-10プレシャーズビル3F-B,,三津家　蓮,,,2023年2月9日,2023年2月13日,2023年2月13日,2023年2月13日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１０番/１０号","130.70691","32.80189","5","8"
7869,飲食店営業,伊賀流,熊本市中央区下通1丁目4-18SIビル1F-C,,松村　浩,,,2023年2月9日,2023年2月22日,2023年2月22日,2023年2月22日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/４番/１８号","130.70827","32.80167","5","8"
7870,飲食店営業,Ｆｒｅｅ　Ｄｒｉｎｋ　Ｂａｒ　三日月,熊本市中央区花畑町13-21MHⅢビルB1,353-0105,松本　三明,,,2023年2月9日,2023年2月17日,2023年2月17日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１３番/２１号","130.70613","32.80022","5","8"
7871,飲食店営業,はらドーナッツ熊本店,熊本市中央区上通町4-18第3イノウエビル1F,359-0827,下田　晴弥,,,2023年2月9日,2023年2月14日,2023年2月14日,2023年2月14日,2029年2月28日,,"熊本県/熊本市/中央区/上通町/４番/１８号","130.71071","32.80403","5","8"
7872,飲食店営業,Ｂａｒ　ＧＥＲＯＮＩＭＯ,熊本市中央区花畑町11-32三駒ビル4F,,森本　純基,,,2023年2月10日,2023年2月13日,2023年2月13日,2023年2月13日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１１番/３２号","130.70709","32.80199","5","8"
7873,飲食店営業,鳥幸,熊本市中央区下通1丁目9-29森天会館ビル1F-E,355-1000,戸澤　幸八,,,2023年2月10日,2023年2月28日,2023年2月28日,2023年2月28日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/９番/２９号","130.70689","32.80065","5","8"
7874,飲食店営業,ＬＥＯＣ　赤とんぼ長嶺事業所,熊本市東区長嶺南6丁目25-97有料老人ホーム赤とんぼ長嶺,367-7766,㈱ＬＥＯＣ,森井　秀和,東京都千代田区大手町1丁目1-3,2023年2月10日,2023年2月24日,2023年2月24日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/長嶺南/六丁目/２５番/９７号","130.77904","32.81057","5","8"
7875,飲食店営業,セブン-イレブン熊本花立６丁目店,熊本市東区花立6丁目10-28,369-6911,田上　広志,,,2023年2月10日,2023年2月14日,2023年2月14日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/花立/六丁目/１０番/２８号","130.77481","32.78485","5","8"
